,fips,CTYNAME,Percent_Overall,Disparity_White_Male,Disparity_White_Female,Disparity_Black_Male,Disparity_Black_Female,Disparity_Nat_Amer_Male,Disparity_Hispanic_Male,Disparity_Hispanic_Female,Disparity_Asian_Pac_Male,Disparity_Asian_Pac_Female,year
475,161,Roanoke County,0.109,0.021,-0.035,0.456,0.002,-0.109,-0.109,-0.109,-0.109,-0.109,2013
476,163,Rockbridge County,0.076,0.01,-0.02,0.578,-0.076,-0.076,-0.076,-0.076,-0.076,-0.076,2013
477,165,Rockingham County,0.11,0.006,-0.02,0.608,-0.11,-0.11,-0.069,-0.11,-0.11,-0.11,2013
478,167,Russell County,0.233,0.069,-0.071,1.057,-0.233,-0.233,-0.233,-0.233,-0.233,-0.233,2013
479,169,Scott County,0.233,0.09,-0.099,1.918,-0.233,-0.233,-0.233,-0.233,-0.233,-0.233,2013
480,171,Shenandoah County,0.186,0.047,-0.085,1.321,-0.186,-0.186,0.089,-0.186,-0.186,-0.186,2013
481,173,Smyth County,0.277,0.069,-0.052,0.017,-0.277,-0.277,-0.277,-0.277,-0.277,-0.277,2013
482,175,Southampton County,0.131,-0.062,-0.057,0.319,-0.131,-0.131,-0.131,-0.131,-0.131,-0.131,2013
483,177,Spotsylvania County,0.13,0.03,-0.051,0.255,-0.071,-0.13,-0.13,-0.13,-0.13,-0.13,2013
484,179,Stafford County,0.171,0.012,-0.065,0.419,-0.088,-0.171,-0.171,-0.171,-0.112,-0.171,2013
485,181,Surry County,0.162,-0.054,-0.104,0.324,-0.099,-0.162,-0.162,-0.162,-0.162,-0.162,2013
486,183,Sussex County,0.11,0.043,-0.11,0.031,-0.035,-0.11,-0.11,0.752,-0.11,-0.11,2013
487,185,Tazewell County,0.35,0.07,-0.058,0.172,-0.35,-0.35,-0.35,-0.35,0.283,-0.35,2013
488,187,Warren County,0.281,0.112,-0.134,0.45,0.264,-0.281,-0.281,-0.281,-0.281,-0.281,2013
489,191,Washington County,0.153,0.061,-0.049,-0.153,-0.153,-0.153,-0.153,-0.153,-0.153,-0.153,2013
490,193,Westmoreland County,0.302,0.018,-0.14,0.578,-0.145,-0.302,-0.302,-0.302,-0.302,-0.302,2013
491,195,Wise County,0.423,0.064,-0.128,-0.15,0.58,-0.423,-0.423,-0.423,-0.423,-0.423,2013
492,197,Wythe County,0.352,0.105,-0.086,0.312,-0.352,-0.352,-0.352,-0.352,-0.352,-0.352,2013
493,199,York County,0.033,0.006,-0.017,0.11,-0.011,-0.033,-0.033,0.025,-0.033,-0.033,2013
494,510,Alexandria city,0.016,0.002,-0.012,0.04,-0.005,-0.016,-0.0,-0.016,-0.016,-0.016,2013
495,520,Bristol city,,,,,,,,,,,2013
496,530,Buena Vista city,0.511,0.162,-0.171,0.048,1.364,-0.511,-0.511,-0.511,-0.511,-0.511,2013
497,540,Charlottesville city,0.107,-0.016,-0.088,0.582,-0.065,-0.107,-0.107,-0.107,-0.107,-0.107,2013
498,550,Chesapeake city,0.128,0.01,-0.079,0.276,-0.06,-0.128,-0.128,-0.128,-0.097,-0.128,2013
499,570,Colonial Heights city,0.229,0.117,-0.176,0.905,-0.229,-0.229,-0.229,0.01,-0.229,-0.229,2013
500,580,Covington city,0.652,0.356,-0.415,0.983,-0.085,-0.652,-0.652,-0.652,-0.652,-0.652,2013
501,590,Danville city,0.418,-0.132,-0.325,0.786,-0.204,-0.418,-0.16,-0.418,-0.418,-0.418,2013
502,595,Emporia city,,,,,,,,,,,2013
503,600,Fairfax city,0.039,-0.004,0.018,-0.039,-0.039,-0.039,-0.039,-0.039,0.016,-0.039,2013
504,610,Falls Church city,0.015,0.004,0.003,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,2013
505,620,Franklin city,0.551,-0.302,-0.324,1.056,-0.442,-0.551,-0.551,-0.551,-0.551,-0.551,2013
506,630,Fredericksburg city,0.313,-0.026,-0.12,0.783,-0.067,-0.313,-0.313,-0.313,-0.313,-0.313,2013
507,640,Galax city,0.649,0.074,-0.17,1.461,-0.21,21.573,-0.649,-0.649,-0.649,-0.649,2013
508,650,Hampton city,0.133,-0.021,-0.072,0.238,-0.1,-0.133,-0.105,-0.133,-0.133,-0.133,2013
509,660,Harrisonburg city,0.208,0.066,-0.117,0.92,-0.057,-0.208,-0.187,-0.208,-0.112,-0.208,2013
510,670,Hopewell city,0.42,-0.116,-0.312,1.21,-0.378,-0.42,-0.42,-0.42,-0.42,-0.42,2013
511,678,Lexington city,0.406,-0.053,-0.034,0.699,0.215,-0.406,0.219,-0.406,-0.406,-0.406,2013
512,680,Lynchburg city,0.254,-0.068,-0.187,0.841,-0.074,-0.254,-0.254,-0.254,-0.254,-0.254,2013
513,683,Manassas city,0.212,0.009,-0.146,0.713,0.097,-0.212,-0.155,-0.212,-0.212,-0.126,2013
514,685,Manassas Park city,,,,,,,,,,,2013
515,690,Martinsville city,0.484,0.099,-0.27,0.723,-0.363,-0.484,-0.169,-0.484,-0.484,-0.484,2013
516,700,Newport News city,0.162,-0.056,-0.096,0.35,-0.08,-0.162,-0.162,-0.162,-0.12,-0.131,2013
517,710,Norfolk city,0.196,-0.114,-0.147,0.496,-0.12,-0.196,-0.196,-0.196,-0.127,-0.196,2013
518,720,Norton city,0.464,0.11,-0.152,1.275,0.203,-0.464,-0.464,-0.464,-0.464,-0.464,2013
519,730,Petersburg city,0.755,0.08,-0.522,0.874,-0.58,-0.755,-0.755,-0.611,-0.755,-0.755,2013
520,735,Poquoson city,0.058,0.048,-0.058,1.504,-0.058,-0.058,-0.058,-0.058,-0.058,-0.058,2013
521,740,Portsmouth city,0.329,-0.073,-0.212,0.491,-0.167,-0.329,-0.329,-0.329,-0.329,-0.329,2013
522,750,Radford city,,,,,,,,,,,2013
523,760,Richmond city,0.319,-0.2,-0.279,0.739,-0.188,-0.319,-0.278,-0.302,-0.319,-0.319,2013
524,770,Roanoke city,0.333,-0.046,-0.172,0.842,-0.161,-0.333,-0.301,-0.333,-0.333,-0.333,2013
525,775,Salem city,,,,,,,,,,,2013
526,790,Staunton city,0.195,0.035,-0.087,0.662,-0.008,-0.195,-0.195,-0.195,-0.195,-0.195,2013
527,800,Suffolk city,0.176,-0.012,-0.123,0.329,-0.1,-0.176,-0.113,-0.176,-0.176,-0.176,2013
528,810,Virginia Beach city,0.031,-0.006,-0.014,0.127,-0.018,-0.031,-0.031,-0.031,-0.031,-0.031,2013
529,820,Waynesboro city,0.298,0.105,-0.137,0.836,-0.221,-0.298,-0.298,-0.298,-0.298,-0.298,2013
530,830,Williamsburg city,,,,,,,,,,,2013
531,840,Winchester city,0.406,0.059,-0.249,1.377,-0.273,-0.406,0.039,-0.406,-0.406,-0.406,2013
532,1,Accomack County,0.094,-0.049,-0.068,0.358,-0.034,-0.094,-0.094,-0.094,-0.094,-0.094,2014
533,3,Albemarle County,0.072,-0.028,-0.05,0.714,0.022,-0.072,-0.004,-0.072,-0.072,-0.072,2014
534,5,Alleghany County,0.211,0.084,-0.09,0.583,-0.211,-0.211,-0.211,-0.211,-0.211,-0.211,2014
535,7,Amelia County,0.26,-0.071,-0.114,0.996,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,2014
536,9,Amherst County,0.143,-0.025,-0.051,0.446,-0.111,-0.143,-0.143,-0.143,-0.143,-0.143,2014
537,11,Appomattox County,0.156,-0.018,-0.123,0.677,-0.03,-0.156,-0.156,-0.156,-0.156,-0.156,2014
538,13,Arlington County,0.026,-0.004,-0.018,0.245,0.002,-0.026,-0.026,-0.026,-0.017,-0.026,2014
539,15,Augusta County,0.079,0.016,-0.021,0.174,-0.079,-0.079,-0.079,-0.079,-0.079,-0.079,2014
540,17,Bath County,0.221,0.062,-0.08,0.548,-0.221,-0.221,-0.221,-0.221,-0.221,-0.221,2014
541,19,Bedford County,0.126,0.023,-0.063,0.558,0.058,-0.126,-0.126,-0.126,0.121,-0.126,2014
542,21,Bland County,0.106,0.012,-0.036,0.382,-0.106,-0.106,-0.106,-0.106,-0.106,-0.106,2014
543,23,Botetourt County,0.139,0.029,-0.032,0.36,-0.139,-0.139,-0.139,-0.139,-0.139,-0.139,2014
544,25,Brunswick County,0.16,-0.022,-0.102,0.187,-0.113,-0.16,-0.16,-0.16,-0.16,-0.16,2014
545,27,Buchanan County,0.302,-0.013,0.03,-0.133,-0.302,-0.302,-0.302,-0.302,-0.302,-0.302,2014
546,29,Buckingham County,0.195,-0.001,-0.135,0.311,-0.154,-0.195,-0.195,-0.195,-0.195,-0.195,2014
547,31,Campbell County,0.112,0.028,-0.082,0.402,-0.015,-0.112,-0.112,-0.112,-0.112,-0.112,2014
548,33,Caroline County,0.158,0.044,-0.039,0.159,-0.111,-0.158,-0.158,-0.158,-0.158,-0.158,2014
549,35,Carroll County,0.125,0.077,-0.071,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,2014
550,36,Charles City County,,,,,,,,,,,2014
551,37,Charlotte County,0.279,0.078,-0.112,0.388,-0.225,-0.279,-0.279,-0.279,-0.279,-0.279,2014
552,41,Chesterfield County,0.132,0.016,-0.076,0.338,-0.055,-0.033,-0.11,-0.132,-0.114,-0.132,2014
553,43,Clarke County,0.126,0.028,-0.065,0.159,-0.126,-0.126,0.495,-0.126,-0.126,-0.126,2014
554,45,Craig County,0.213,0.065,-0.057,-0.213,-0.213,-0.213,-0.213,-0.213,-0.213,-0.213,2014
555,47,Culpeper County,0.173,0.028,-0.097,0.493,-0.118,-0.173,-0.132,-0.173,-0.173,0.085,2014
556,49,Cumberland County,0.112,0.08,-0.112,0.166,-0.054,-0.112,-0.112,-0.112,-0.112,-0.112,2014
557,51,Dickenson County,0.28,0.007,-0.013,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,2014
558,53,Dinwiddie County,0.082,-0.027,-0.049,0.215,-0.061,-0.082,0.156,-0.082,-0.082,-0.082,2014
559,57,Essex County,0.19,-0.025,-0.069,0.273,-0.146,-0.19,-0.19,-0.19,-0.19,-0.19,2014
560,59,Fairfax County,0.01,0.006,-0.005,0.021,0.002,-0.01,-0.009,-0.01,-0.006,-0.008,2014
561,61,Fauquier County,0.179,0.027,-0.049,0.526,-0.106,-0.179,-0.138,-0.179,-0.179,-0.179,2014
562,63,Floyd County,0.322,0.116,-0.106,0.358,-0.322,-0.322,-0.322,-0.322,-0.322,-0.322,2014
563,65,Fluvanna County,0.073,0.029,-0.064,0.421,-0.073,-0.073,-0.073,-0.073,-0.073,-0.073,2014
564,67,Franklin County,0.27,0.057,-0.098,0.772,-0.185,-0.27,-0.137,-0.27,-0.27,-0.27,2014
565,69,Frederick County,0.195,0.055,-0.067,0.427,-0.133,-0.195,-0.071,-0.195,-0.195,-0.195,2014
566,71,Giles County,0.326,0.073,-0.06,0.474,-0.326,-0.326,-0.326,-0.326,-0.326,-0.326,2014
567,73,Gloucester County,0.14,0.033,-0.055,0.403,-0.013,-0.14,-0.14,-0.14,-0.14,-0.14,2014
568,75,Goochland County,0.096,0.01,-0.039,0.211,-0.096,-0.096,-0.096,-0.096,-0.096,-0.096,2014
569,77,Grayson County,0.176,0.123,-0.096,-0.176,-0.176,-0.176,-0.176,-0.176,-0.176,-0.176,2014
570,79,Greene County,0.073,0.035,-0.05,0.391,-0.073,-0.073,-0.073,-0.073,-0.073,-0.073,2014
571,81,Greensville County,0.19,-0.08,-0.077,0.159,-0.112,-0.19,-0.19,-0.19,-0.19,-0.19,2014
572,83,Halifax County,0.318,-0.107,-0.21,0.792,-0.201,-0.318,-0.318,-0.318,-0.318,-0.318,2014
573,85,Hanover County,0.136,0.016,-0.04,0.47,-0.116,-0.136,-0.136,-0.136,-0.136,-0.136,2014
574,87,Henrico County,0.106,-0.016,-0.066,0.308,-0.044,-0.106,-0.095,-0.106,-0.083,-0.106,2014
575,89,Henry County,0.134,0.018,-0.016,0.124,-0.117,-0.134,0.007,-0.134,-0.134,-0.134,2014
576,91,Highland County,0.045,-0.045,0.046,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,2014
577,93,Isle of Wight County,,,,,,,,,,,2014
578,95,James City County,,,,,,,,,,,2014
579,97,King and Queen County,,,,,,,,,,,2014
580,99,King George County,0.143,-0.003,-0.06,0.463,-0.097,-0.143,-0.143,-0.143,-0.143,-0.143,2014
581,101,King William County,0.155,-0.011,-0.061,0.631,-0.155,-0.155,-0.155,-0.155,-0.155,-0.155,2014
582,103,Lancaster County,0.129,-0.017,-0.104,0.498,-0.129,-0.129,-0.129,-0.129,-0.129,-0.129,2014
583,105,Lee County,0.19,0.108,-0.086,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,2014
584,107,Loudoun County,0.029,0.015,-0.017,0.111,-0.0,-0.029,-0.021,-0.029,-0.009,-0.026,2014
585,109,Louisa County,0.125,0.058,-0.053,0.131,-0.091,-0.125,-0.125,-0.125,-0.125,-0.125,2014
586,111,Lunenburg County,0.08,-0.031,-0.027,0.091,0.024,-0.08,-0.08,-0.08,-0.08,-0.08,2014
587,113,Madison County,0.1,0.046,-0.083,0.527,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,2014
588,115,Mathews County,0.136,0.024,-0.036,0.399,-0.136,-0.136,-0.136,-0.136,-0.136,-0.136,2014
589,117,Mecklenburg County,0.305,-0.029,-0.225,0.591,-0.073,-0.305,-0.305,-0.305,-0.305,-0.305,2014
590,119,Middlesex County,0.122,0.097,-0.099,0.186,-0.122,-0.122,-0.122,-0.122,-0.122,-0.122,2014
591,121,Montgomery County,0.21,0.095,-0.086,0.342,-0.155,-0.21,-0.21,-0.21,-0.093,-0.21,2014
592,125,Nelson County,0.235,0.123,-0.157,0.725,-0.235,-0.235,-0.235,-0.235,-0.235,-0.235,2014
593,127,New Kent County,0.125,0.067,-0.063,0.156,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,2014
594,131,Northampton County,0.191,-0.029,-0.164,0.499,-0.107,-0.191,-0.191,-0.191,1.983,-0.191,2014
595,133,Northumberland County,0.18,-0.069,-0.069,0.522,-0.118,-0.18,0.225,-0.18,-0.18,-0.18,2014
596,135,Nottoway County,0.2,0.016,-0.131,0.273,-0.163,-0.2,0.08,-0.2,-0.2,-0.2,2014
597,137,Orange County,0.172,0.011,-0.03,0.322,-0.128,-0.172,-0.172,-0.172,-0.172,-0.172,2014
598,139,Page County,0.282,0.101,-0.093,0.478,-0.282,-0.282,-0.282,-0.282,-0.282,-0.282,2014
599,141,Patrick County,0.171,0.059,-0.054,0.016,0.032,-0.171,-0.171,-0.171,-0.171,-0.171,2014
600,143,Pittsylvania County,0.071,-0.016,-0.046,0.282,-0.042,-0.071,-0.071,-0.071,-0.071,-0.071,2014
601,145,Powhatan County,0.119,0.025,-0.051,0.085,0.061,-0.119,-0.119,-0.119,-0.119,-0.119,2014
602,147,Prince Edward County,0.331,-0.157,-0.29,1.117,-0.102,-0.331,-0.331,-0.331,-0.331,-0.331,2014
603,149,Prince George County,0.075,-0.002,-0.029,0.106,-0.054,-0.075,-0.075,-0.075,-0.075,-0.075,2014
604,153,Prince William County,0.089,0.014,-0.043,0.222,-0.038,-0.089,-0.089,-0.089,-0.066,-0.084,2014
605,155,Pulaski County,0.373,0.007,-0.123,1.95,0.226,-0.373,-0.373,-0.373,-0.373,0.512,2014
606,157,Rappahannock County,0.068,0.05,-0.039,-0.068,-0.068,-0.068,-0.068,-0.068,-0.068,-0.068,2014
607,159,Richmond County,0.124,-0.026,0.014,0.107,-0.124,-0.124,-0.124,-0.124,-0.124,-0.124,2014
608,161,Roanoke County,0.136,0.036,-0.039,0.454,-0.136,-0.136,-0.136,-0.136,-0.136,-0.136,2014
609,163,Rockbridge County,0.125,0.047,-0.06,0.824,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,2014
610,165,Rockingham County,0.126,0.07,-0.063,0.103,-0.126,-0.126,-0.126,-0.126,-0.126,-0.126,2014
611,167,Russell County,0.306,0.082,-0.071,0.243,-0.306,-0.306,-0.306,-0.306,-0.306,-0.306,2014
612,169,Scott County,0.32,0.124,-0.121,-0.32,-0.32,-0.32,0.347,-0.32,-0.32,-0.32,2014
613,171,Shenandoah County,0.232,0.072,-0.068,0.482,-0.232,-0.232,-0.165,-0.232,-0.232,-0.232,2014
614,173,Smyth County,0.364,0.119,-0.144,1.726,-0.078,-0.364,-0.031,-0.364,-0.364,-0.364,2014
615,175,Southampton County,0.077,-0.008,0.034,0.037,-0.077,-0.077,-0.077,-0.077,-0.077,-0.077,2014
616,177,Spotsylvania County,0.137,-0.007,-0.052,0.367,-0.012,-0.137,-0.137,-0.137,-0.07,-0.137,2014
617,179,Stafford County,0.159,0.023,-0.025,0.255,-0.127,-0.159,-0.159,-0.159,-0.159,-0.159,2014
618,181,Surry County,0.147,-0.093,-0.034,0.279,-0.083,-0.147,-0.147,-0.147,-0.147,-0.147,2014
619,183,Sussex County,0.111,0.003,-0.111,0.104,-0.111,-0.111,-0.111,-0.111,-0.111,-0.111,2014
620,185,Tazewell County,0.417,0.064,-0.04,0.007,-0.199,-0.417,-0.417,-0.417,-0.417,-0.417,2014
621,187,Warren County,0.361,0.075,-0.178,1.312,0.283,-0.361,-0.361,-0.361,-0.361,-0.361,2014
622,191,Washington County,0.205,0.075,-0.06,-0.205,-0.205,-0.205,-0.205,-0.205,-0.205,-0.205,2014
623,193,Westmoreland County,0.206,-0.07,-0.042,0.508,-0.127,-0.206,-0.206,-0.206,-0.206,-0.206,2014
624,195,Wise County,0.526,0.084,-0.188,0.089,-0.208,-0.526,-0.526,-0.526,-0.526,-0.526,2014
625,197,Wythe County,0.382,0.094,-0.065,0.08,-0.382,-0.382,-0.382,-0.382,-0.382,-0.382,2014
626,199,York County,0.035,-0.012,-0.004,0.15,-0.013,-0.035,-0.035,-0.035,-0.035,-0.035,2014
627,510,Alexandria city,0.013,0.001,-0.011,0.041,-0.007,-0.013,-0.013,-0.013,-0.013,-0.013,2014
628,520,Bristol city,,,,,,,,,,,2014
629,530,Buena Vista city,0.489,0.199,-0.112,0.099,-0.489,-0.489,-0.489,-0.489,-0.489,-0.489,2014
630,540,Charlottesville city,0.134,-0.005,-0.103,0.674,-0.092,0.886,-0.134,-0.134,-0.134,-0.134,2014
631,550,Chesapeake city,0.129,-0.007,-0.084,0.297,-0.045,-0.129,-0.129,-0.113,-0.01,-0.129,2014
632,570,Colonial Heights city,0.31,0.059,-0.149,1.061,-0.082,-0.31,-0.103,-0.31,-0.31,-0.31,2014
633,580,Covington city,0.832,0.235,-0.271,0.772,-0.278,-0.832,0.373,-0.832,-0.832,-0.832,2014
634,590,Danville city,0.36,-0.114,-0.19,0.626,-0.213,-0.36,-0.243,-0.36,-0.36,-0.36,2014
635,595,Emporia city,,,,,,,,,,,2014
636,600,Fairfax city,0.039,-0.004,-0.027,0.584,-0.039,-0.039,-0.039,-0.039,0.013,-0.039,2014
637,610,Falls Church city,0.045,0.03,-0.027,-0.045,-0.045,-0.045,-0.045,-0.045,0.144,-0.045,2014
638,620,Franklin city,0.346,0.103,-0.17,0.463,-0.273,-0.346,-0.346,-0.346,-0.346,-0.346,2014
639,630,Fredericksburg city,0.212,-0.054,-0.107,0.693,-0.05,-0.212,-0.212,-0.212,-0.212,-0.212,2014
640,640,Galax city,0.536,0.298,-0.266,0.267,-0.536,-0.536,-0.337,-0.536,-0.536,-0.536,2014
641,650,Hampton city,0.124,-0.018,-0.052,0.173,-0.072,-0.124,-0.124,-0.124,-0.052,-0.124,2014
642,660,Harrisonburg city,0.215,0.068,-0.129,1.097,-0.07,-0.215,-0.195,-0.215,-0.215,-0.215,2014
643,670,Hopewell city,0.448,-0.175,-0.258,1.049,-0.303,1.276,-0.208,-0.448,-0.448,-0.448,2014
644,678,Lexington city,0.323,0.001,0.014,-0.04,0.294,-0.323,-0.323,-0.323,-0.323,-0.323,2014
645,680,Lynchburg city,0.273,-0.068,-0.214,0.973,-0.125,-0.273,-0.273,-0.273,-0.18,-0.273,2014
646,683,Manassas city,0.207,0.014,-0.114,0.822,-0.051,-0.207,-0.207,-0.207,-0.12,-0.207,2014
647,685,Manassas Park city,,,,,,,,,,,2014
648,690,Martinsville city,0.593,-0.138,-0.186,1.127,-0.593,-0.593,-0.012,-0.593,-0.593,-0.593,2014
649,700,Newport News city,0.151,-0.062,-0.092,0.34,-0.069,-0.151,-0.151,-0.151,-0.111,-0.151,2014
650,710,Norfolk city,0.195,-0.114,-0.128,0.473,-0.106,-0.195,-0.195,-0.195,-0.195,-0.195,2014
651,720,Norton city,0.677,0.286,-0.315,1.141,-0.006,-0.677,-0.677,-0.677,-0.677,-0.677,2014
652,730,Petersburg city,0.716,-0.176,-0.349,0.829,-0.527,-0.716,-0.716,-0.716,-0.716,-0.716,2014
653,735,Poquoson city,0.125,0.035,-0.038,1.346,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,2014
654,740,Portsmouth city,0.415,-0.046,-0.251,0.601,-0.25,0.02,-0.415,-0.357,-0.085,-0.415,2014
655,750,Radford city,,,,,,,,,,,2014
656,760,Richmond city,0.335,-0.209,-0.281,0.764,-0.187,-0.335,-0.322,-0.335,-0.248,-0.335,2014
657,770,Roanoke city,0.352,-0.024,-0.212,0.943,-0.228,-0.352,-0.321,-0.352,-0.282,-0.276,2014
658,775,Salem city,,,,,,,,,,,2014
659,790,Staunton city,0.231,0.052,-0.115,0.87,-0.107,-0.231,-0.231,-0.231,-0.231,-0.231,2014
660,800,Suffolk city,0.168,0.007,-0.129,0.296,-0.088,-0.168,-0.168,-0.168,-0.016,-0.168,2014
661,810,Virginia Beach city,0.039,-0.003,-0.02,0.139,-0.018,-0.039,-0.033,-0.039,-0.017,-0.033,2014
662,820,Waynesboro city,0.338,0.11,-0.124,0.768,-0.261,-0.338,-0.338,-0.338,-0.338,-0.338,2014
663,830,Williamsburg city,,,,,,,,,,,2014
664,840,Winchester city,0.442,0.115,-0.189,0.795,-0.31,-0.442,-0.2,-0.442,-0.152,-0.177,2014
665,1,Accomack County,0.094,-0.003,-0.05,0.2,-0.054,-0.094,-0.03,-0.094,-0.094,-0.094,2015
666,3,Albemarle County,0.067,0.008,-0.047,0.425,0.009,-0.067,-0.034,-0.067,-0.067,-0.067,2015
667,5,Alleghany County,0.298,0.059,-0.094,1.064,-0.298,-0.298,-0.298,-0.298,-0.298,-0.298,2015
668,7,Amelia County,0.235,-0.028,-0.11,0.716,-0.103,-0.235,-0.235,-0.235,-0.235,-0.235,2015
669,9,Amherst County,0.116,0.044,-0.061,0.242,-0.116,-0.116,-0.116,-0.116,-0.116,-0.116,2015
670,11,Appomattox County,0.142,0.028,-0.077,0.278,-0.014,-0.142,-0.142,-0.142,-0.142,-0.142,2015
671,13,Arlington County,0.032,0.002,-0.02,0.229,0.005,-0.032,-0.032,-0.032,-0.014,-0.032,2015
672,15,Augusta County,0.098,0.014,-0.023,0.284,-0.098,-0.098,-0.098,-0.098,-0.098,-0.098,2015
673,17,Bath County,0.404,0.027,-0.023,0.365,-0.404,-0.404,-0.404,-0.404,-0.404,-0.404,2015
674,19,Bedford County,0.119,-0.0,-0.043,0.654,-0.046,-0.119,-0.119,-0.119,0.12,-0.119,2015
675,21,Bland County,0.153,0.027,-0.014,-0.153,-0.153,-0.153,-0.153,-0.153,-0.153,-0.153,2015
676,23,Botetourt County,0.159,0.059,-0.059,0.177,0.045,-0.159,-0.159,-0.159,-0.159,-0.159,2015
677,25,Brunswick County,0.16,0.141,-0.102,0.072,-0.113,-0.16,-0.16,-0.16,-0.16,-0.16,2015
678,27,Buchanan County,0.369,0.083,-0.068,-0.032,-0.369,-0.369,-0.369,-0.369,-0.369,-0.369,2015
679,29,Buckingham County,0.235,-0.078,-0.155,0.383,-0.113,-0.235,0.191,-0.235,-0.235,-0.235,2015
680,31,Campbell County,0.096,0.013,-0.07,0.364,0.0,-0.096,-0.096,-0.096,0.324,-0.096,2015
681,33,Caroline County,0.244,0.046,-0.056,0.221,-0.22,-0.244,-0.244,-0.244,-0.244,0.369,2015
682,35,Carroll County,0.117,0.07,-0.07,0.703,-0.117,-0.117,-0.117,-0.117,-0.117,-0.117,2015
683,36,Charles City County,,,,,,,,,,,2015
684,37,Charlotte County,0.213,0.165,-0.069,0.026,-0.213,-0.213,-0.213,-0.213,-0.213,-0.213,2015
685,41,Chesterfield County,0.162,0.018,-0.08,0.395,-0.105,-0.162,-0.134,-0.162,-0.092,-0.162,2015
686,43,Clarke County,0.147,0.038,-0.039,0.476,-0.147,-0.147,-0.147,-0.147,-0.147,-0.147,2015
687,45,Craig County,0.175,0.142,-0.136,-0.175,-0.175,-0.175,-0.175,-0.175,-0.175,-0.175,2015
688,47,Culpeper County,0.19,-0.005,-0.065,0.587,-0.134,-0.19,-0.19,-0.19,-0.19,-0.19,2015
689,49,Cumberland County,0.103,0.056,-0.103,0.251,-0.103,-0.103,-0.103,-0.103,-0.103,-0.103,2015
690,51,Dickenson County,0.382,0.148,-0.14,-0.382,-0.382,-0.382,-0.382,-0.382,-0.382,-0.382,2015
691,53,Dinwiddie County,0.082,0.029,-0.038,0.101,-0.061,-0.082,-0.082,-0.082,-0.082,-0.082,2015
692,57,Essex County,0.171,-0.039,-0.111,0.345,-0.128,1.79,-0.171,-0.171,-0.171,-0.171,2015
693,59,Fairfax County,0.011,0.005,-0.006,0.046,-0.004,-0.011,-0.009,-0.011,-0.003,-0.011,2015
694,61,Fauquier County,0.118,0.017,-0.045,0.325,-0.008,-0.118,-0.079,-0.118,-0.118,-0.118,2015
695,63,Floyd County,0.354,0.15,-0.165,0.988,0.3,-0.354,-0.354,-0.354,-0.354,-0.354,2015
696,65,Fluvanna County,0.088,0.013,-0.062,0.34,-0.045,-0.088,-0.088,-0.088,-0.088,-0.088,2015
697,67,Franklin County,0.233,0.05,-0.085,0.691,-0.146,-0.233,-0.233,-0.233,-0.233,-0.233,2015
698,69,Frederick County,0.23,0.059,-0.082,0.433,-0.042,-0.23,0.007,-0.23,-0.23,-0.23,2015
699,71,Giles County,0.483,0.16,-0.144,1.044,-0.483,-0.483,-0.483,-0.483,-0.483,-0.483,2015
700,73,Gloucester County,0.103,0.034,-0.036,0.169,-0.038,-0.103,-0.103,-0.103,-0.103,-0.103,2015
701,75,Goochland County,0.077,-0.019,-0.044,0.285,0.029,-0.077,-0.077,-0.077,-0.077,-0.077,2015
702,77,Grayson County,0.213,0.084,-0.079,-0.068,0.322,-0.213,-0.213,-0.213,-0.213,-0.213,2015
703,79,Greene County,0.052,0.02,-0.018,0.1,-0.052,-0.052,-0.052,-0.052,-0.052,-0.052,2015
704,81,Greensville County,0.212,-0.105,-0.212,0.209,-0.132,-0.212,0.347,-0.212,-0.212,-0.212,2015
705,83,Halifax County,0.345,-0.037,-0.173,0.621,-0.243,-0.345,-0.345,-0.345,-0.345,-0.345,2015
706,85,Hanover County,0.147,0.052,-0.081,0.542,-0.106,-0.147,-0.147,-0.147,-0.147,-0.147,2015
707,87,Henrico County,0.132,0.001,-0.062,0.34,-0.082,-0.132,-0.132,-0.132,-0.125,-0.132,2015
708,89,Henry County,0.146,0.06,-0.072,0.204,-0.113,-0.146,-0.078,-0.146,-0.146,-0.146,2015
709,91,Highland County,,,,,,,,,,,2015
710,93,Isle of Wight County,,,,,,,,,,,2015
711,95,James City County,,,,,,,,,,,2015
712,97,King and Queen County,,,,,,,,,,,2015
713,99,King George County,0.157,-0.047,-0.095,0.783,-0.018,-0.157,-0.157,-0.157,-0.157,-0.157,2015
714,101,King William County,0.117,0.089,-0.023,-0.117,-0.117,-0.117,-0.117,-0.117,-0.117,-0.117,2015
715,103,Lancaster County,0.129,-0.045,-0.129,0.573,-0.129,-0.129,-0.129,-0.129,-0.129,-0.129,2015
